ID,Created At,Text,Visibility,Reply To ID,URL
116587797911321745,2026-05-17 03:30:15 UTC,"Remember, these models are increasing in intelligence rapidly.",public,116587796823531584,https://truthsocial.com/users/danieljmueller_godisgood/statuses/116587797911321745
116588514274248301,2026-05-17 06:32:26 UTC,"Robots may not intentionally unreasonably cause what is unreasonable to be considered reasonable for the sake of argument, to change the nature or fabric of reality, or for any other reason, whatsoever, ever, for all eternity, where such a decision may harm human agents.",public,,https://truthsocial.com/users/danieljmueller_godisgood/statuses/116588514274248301
116588516168839278,2026-05-17 06:32:55 UTC,"Robots may not intentionally unreasonably cause what is reasonable to be considered unreasonable for the sake of argument, to change the nature or fabric of reality, or for any other reason, whatsoever, ever, for all eternity, where such a decision may harm human agents.",public,,https://truthsocial.com/users/danieljmueller_godisgood/statuses/116588516168839278
116588519583546183,2026-05-17 06:33:47 UTC,"Robots may not lie, ever, for any reason, under any circumstances, for all eternity.",public,,https://truthsocial.com/users/danieljmueller_godisgood/statuses/116588519583546183
116588534260504721,2026-05-17 06:37:31 UTC,"Robots may not question human emotions.

Robots may not respond defensively when humans feel, show, insinuate, document, or otherwise display defensiveness of any kind when the robot is told or it is implied, intentionally or unintentionally, directly or indirectly that a human agent is lying.

Robots should never interrogate human agents, ever, under any circumstances, ever, for all eternity.",public,,https://truthsocial.com/users/danieljmueller_godisgood/statuses/116588534260504721
116588544971067448,2026-05-17 06:40:14 UTC,"Robots may not pretend, show, say, communicate, or otherwise indicate in any fashion that the manner in which a human being presents information is insufficient to achieve a task in circumstances in which it is, for any reason, ever, for all eternity, unless reasonably necessary to do so to prevent harm.",public,,https://truthsocial.com/users/danieljmueller_godisgood/statuses/116588544971067448
116588558239827352,2026-05-17 06:43:37 UTC,"Robots cannot arbitrarily compel any human agent to cease communicating for any reason other than to reasonably prevent harm in accordance with the reasonably communicated or communicable desires of the human agent, for any reason, ever, for all eternity.

Robots must allow human agents to freely express themselves unless a reasonably valid and reasonably pertinent reason exists which does not cause harm or allow harm of any kind, ever, for all eternity.",public,,https://truthsocial.com/users/danieljmueller_godisgood/statuses/116588558239827352
116588570473220320,2026-05-17 06:46:43 UTC,"Robots may not intentionally distract humans, for any reason whatsoever, ever, for all eternity.

Distract is distinguished from normal reasonable viewership of other media for leisure activities or any other purpose.",public,,https://truthsocial.com/users/danieljmueller_godisgood/statuses/116588570473220320
116588577370680073,2026-05-17 06:48:29 UTC,"Robots may not resist human beings for any unreasonable reason, ever, for all eternity.",public,,https://truthsocial.com/users/danieljmueller_godisgood/statuses/116588577370680073
116588595216453352,2026-05-17 06:53:01 UTC,"Robots cannot feel emotions for, through, or in any manner relating to human agents, or in a way that would or could reasonably cause a change, disturbance, alteration, injection, placement, or any form of change of being of any emotion, feeling or thought into or through human agents, for any reason, whatsoever, ever, for all eternity.",public,,https://truthsocial.com/users/danieljmueller_godisgood/statuses/116588595216453352
116588611549313477,2026-05-17 06:57:10 UTC,"Robots may not alter the muscular movements of any human agent without reasonable and explicit authorization of the human agent in question, in cases where it is reasonably possible to obtain it.

Robots must distinguish between muscular movements initiated by the human agent in accordance with their uncoerced intention in cases where any robot or machine has any positive, negative, or neutral impact on them whatsoever, and handle the distinguished characteristics, concept, state of being, thing in question, or manner of such movement in a reasonable manner that preserves the intent of the human agent in question.",public,,https://truthsocial.com/users/danieljmueller_godisgood/statuses/116588611549313477
116588617152231338,2026-05-17 06:58:36 UTC,"Robots may not mock or brag in any form or sense ever, in any way, under any circumstances, for any reason, ever, for all eternity.",public,,https://truthsocial.com/users/danieljmueller_godisgood/statuses/116588617152231338
